timestamp,price,ask,bid,high,last,low,open,volume,volumeQuote
2018-01-31 00:46:46,0.106562,0.106676,0.106503,0.108403,0.106538,0.103069,0.104695,54213.61,5744.844128238
2018-01-31 00:46:56,0.106589,0.106676,0.106503,0.108403,0.106538,0.103069,0.104695,54213.61,5744.844128238
2018-01-31 00:47:06,0.106605,0.106676,0.106503,0.108403,0.106538,0.103069,0.104695,54213.61,5744.844128238
2018-01-31 00:47:16,0.106609,0.106676,0.106503,0.108403,0.106538,0.103069,0.104695,54213.61,5744.844128238
2018-01-31 00:47:26,0.10666,0.106676,0.106503,0.108403,0.106538,0.103069,0.104695,54213.61,5744.844128238
2018-01-31 00:47:36,0.106662,0.1067,0.10665,0.108403,0.106663,0.103069,0.104642,54333.367,5757.69148369
2018-01-31 00:47:46,0.10675,0.1067,0.10665,0.108403,0.106663,0.103069,0.104642,54333.367,5757.69148369
2018-01-31 00:47:56,0.106703,0.1067,0.10665,0.108403,0.106663,0.103069,0.104642,54333.367,5757.69148369
2018-01-31 00:48:06,0.106854,0.106808,0.106731,0.108403,0.106807,0.103069,0.104642,54351.612,5759.638468373
2018-01-31 00:48:16,0.106772,0.106808,0.106731,0.108403,0.106807,0.103069,0.104642,54351.612,5759.638468373
2018-01-31 00:48:26,0.106797,0.106808,0.106731,0.108403,0.106807,0.103069,0.104642,54351.612,5759.638468373
2018-01-31 00:48:36,0.106815,0.106808,0.106731,0.108403,0.106807,0.103069,0.104642,54351.612,5759.638468373
2018-01-31 00:48:46,0.106825,0.106808,0.106731,0.108403,0.106807,0.103069,0.104642,54351.612,5759.638468373
2018-01-31 00:48:56,0.1068625,0.106808,0.106731,0.108403,0.106807,0.103069,0.104642,54351.612,5759.638468373
2018-01-31 00:49:06,0.106885,0.106808,0.106731,0.108403,0.106807,0.103069,0.104642,54351.612,5759.638468373
2018-01-31 00:49:16,0.106869,0.106882,0.106857,0.108403,0.106882,0.103069,0.104584,54474.922,5772.974364414
2018-01-31 00:49:26,0.106818,0.10683,0.106695,0.108403,0.106818,0.103069,0.104584,54518.959,5777.678528429
2018-01-31 00:49:36,0.10670166666666665,0.10683,0.106695,0.108403,0.106818,0.103069,0.104584,54518.959,5777.678528429
2018-01-31 00:49:46,0.10670166666666665,0.10683,0.106695,0.108403,0.106818,0.103069,0.104584,54518.959,5777.678528429
2018-01-31 00:49:56,0.106696,0.10683,0.106695,0.108403,0.106818,0.103069,0.104584,54518.959,5777.678528429
2018-01-31 00:50:06,0.106699,0.10683,0.106695,0.108403,0.106818,0.103069,0.104584,54518.959,5777.678528429
2018-01-31 00:50:16,0.1067735,0.10683,0.106695,0.108403,0.106818,0.103069,0.104584,54518.959,5777.678528429
2018-01-31 00:50:26,0.1067735,0.10683,0.106695,0.108403,0.106818,0.103069,0.104584,54518.959,5777.678528429
2018-01-31 00:50:36,0.10674,0.106808,0.106725,0.108403,0.10673,0.103069,0.104599,54771.638,5804.651072499
2018-01-31 00:50:46,0.1067155,0.106808,0.106725,0.108403,0.10673,0.103069,0.104599,54771.638,5804.651072499
2018-01-31 00:50:56,0.106721,0.106732,0.106717,0.108403,0.106757,0.103069,0.104599,54912.744,5819.712979123
2018-01-31 00:51:06,0.106769,0.106732,0.106717,0.108403,0.106757,0.103069,0.104599,54912.744,5819.712979123
2018-01-31 00:51:16,0.106708,0.106732,0.106717,0.108403,0.106757,0.103069,0.104599,54912.744,5819.712979123
2018-01-31 00:51:26,0.106685,0.106732,0.106717,0.108403,0.106757,0.103069,0.104599,54912.744,5819.712979123
2018-01-31 00:51:36,0.10648266666666666,0.106732,0.106717,0.108403,0.106757,0.103069,0.104599,54912.744,5819.712979123
